name,params,desc
migrations.downloadArchiveForOrg,!org;!migration_id,"Download an organization migration archive"
migrations.getArchiveForAuthenticatedUser,!migration_id,"Download a user migration archive"
migrations.getCommitAuthors,!owner;!repo;since,"Get commit authors"
migrations.getImportProgress,!owner;!repo,"Get import progress"
migrations.getLargeFiles,!owner;!repo,"Get large files"
migrations.getStatusForAuthenticatedUser,!migration_id,"Get the status of a user migration"
migrations.getStatusForOrg,!org;!migration_id,"Get the status of an organization migration"
migrations.listForAuthenticatedUser,per_page;page,"List user migrations"
migrations.listForOrg,!org;per_page;page,"List organization migrations"
migrations.listReposForOrg,!org;!migration_id;per_page;page,"List repositories in an organization migration"
migrations.listReposForUser,!migration_id;per_page;page,"List repositories for a user migration"
migrations.mapCommitAuthor,!owner;!repo;!author_id;email;name,"Map a commit author"
migrations.setLfsPreference,!owner;!repo;!use_lfs,"Set Git LFS preference"
migrations.startForAuthenticatedUser,!repositories;lock_repositories;exclude_attachments,"Start a user migration"
migrations.startForOrg,!org;!repositories;lock_repositories;exclude_attachments,"Start an organization migration"
migrations.startImport,!owner;!repo;!vcs_url;vcs;vcs_username;vcs_password;tfvc_project,"Start an import"
migrations.unlockRepoForAuthenticatedUser,!migration_id;!repo_name,"Unlock a user repository"
migrations.unlockRepoForOrg,!org;!migration_id;!repo_name,"Unlock an organization repository"
migrations.updateImport,!owner;!repo;vcs_username;vcs_password,"Update existing import"
orgs.addOrUpdateMembership,!org;!username;role,"Add or update organization membership"
orgs.blockUser,!org;!username,"Block a user"
orgs.checkBlockedUser,!org;!username,"Check whether a user is blocked from an organization"
orgs.checkMembership,!org;!username,"Check membership"
orgs.checkPublicMembership,!org;!username,"Check public membership"
orgs.concealMembership,!org;!username,"Conceal a user's membership"
orgs.convertMemberToOutsideCollaborator,!org;!username,"Convert member to outside collaborator"
orgs.createHook,!org;!name;!config;!config.url;config.content_type;config.secret;config.insecure_ssl;events;active,"Create a hook"
orgs.createInvitation,!org;invitee_id;email;role;team_ids,"Create organization invitation"
orgs.deleteHook,!org;!hook_id,"Delete a hook"
orgs.get,!org,"Get an organization"
orgs.getHook,!org;!hook_id,"Get single hook"
orgs.getMembership,!org;!username,"Get organization membership"
orgs.getMembershipForAuthenticatedUser,!org,"Get your organization membership"
orgs.list,since;per_page;page,"List all organizations"
orgs.listBlockedUsers,!org,"List blocked users"
orgs.listForAuthenticatedUser,per_page;page,"List your organizations"
orgs.listForUser,!username;per_page;page,"List user organizations"
orgs.listHooks,!org;per_page;page,"List hooks"
orgs.listInstallations,!org;per_page;page,"List installations for an organization"
orgs.listInvitationTeams,!org;!invitation_id;per_page;page,"List organization invitation teams"
orgs.listMembers,!org;filter;role;per_page;page,"Members list"
orgs.listMemberships,state;per_page;page,"List your organization memberships"
orgs.listOutsideCollaborators,!org;filter;per_page;page,"List outside collaborators"
orgs.listPendingInvitations,!org;per_page;page,"List pending organization invitations"
orgs.listPublicMembers,!org;per_page;page,"Public members list"
orgs.pingHook,!org;!hook_id,"Ping a hook"
orgs.publicizeMembership,!org;!username,"Publicize a user's membership"
orgs.removeMember,!org;!username,"Remove a member"
orgs.removeMembership,!org;!username,"Remove organization membership"
orgs.removeOutsideCollaborator,!org;!username,"Remove outside collaborator"
orgs.unblockUser,!org;!username,"Unblock a user"
orgs.update,!org;billing_email;company;email;location;name;description;has_organization_projects;has_repository_projects;default_repository_permission;members_can_create_repositories;members_can_create_internal_repositories;members_can_create_private_repositories;members_can_create_public_repositories;members_allowed_repository_creation_type,"Edit an organization"
orgs.updateHook,!org;!hook_id;config;!config.url;config.content_type;config.secret;config.insecure_ssl;events;active,"Edit a hook"
orgs.updateMembership,!org;!state,"Edit your organization membership"
projects.addCollaborator,!project_id;!username;permission,"Add user as a collaborator"
projects.createCard,!column_id;note;content_id;content_type,"Create a project card"
projects.createColumn,!project_id;!name,"Create a project column"
projects.createForAuthenticatedUser,!name;body,"Create a user project"
projects.createForOrg,!org;!name;body,"Create an organization project"
projects.createForRepo,!owner;!repo;!name;body,"Create a repository project"
projects.delete,!project_id,"Delete a project"
projects.deleteCard,!card_id,"Delete a project card"
projects.deleteColumn,!column_id,"Delete a project column"
projects.get,!project_id,"Get a project"
projects.getCard,!card_id,"Get a project card"
projects.getColumn,!column_id,"Get a project column"
projects.listCards,!column_id;archived_state;per_page;page,"List project cards"
projects.listCollaborators,!project_id;affiliation;per_page;page,"List collaborators"
projects.listColumns,!project_id;per_page;page,"List project columns"
projects.listForOrg,!org;state;per_page;page,"List organization projects"
projects.listForRepo,!owner;!repo;state;per_page;page,"List repository projects"
projects.listForUser,!username;state;per_page;page,"List user projects"
projects.moveCard,!card_id;!position;column_id,"Move a project card"
projects.moveColumn,!column_id;!position,"Move a project column"
projects.removeCollaborator,!project_id;!username,"Remove user as a collaborator"
projects.reviewUserPermissionLevel,!project_id;!username,"Review a user's permission level"
projects.update,!project_id;name;body;state;organization_permission;private,"Update a project"
projects.updateCard,!card_id;note;archived,"Update a project card"
projects.updateColumn,!column_id;!name,"Update a project column"
pulls.checkIfMerged,!owner;!repo;!pull_number,"Get if a pull request has been merged"
pulls.create,!owner;!repo;!title;!head;!base;body;maintainer_can_modify;draft,"Create a pull request"
pulls.createComment,!owner;!repo;!pull_number;!body;!commit_id;!path;position;side;line;start_line;start_side,"Create a comment"
pulls.createReview,!owner;!repo;!pull_number;commit_id;body;event;comments;!comments[].path;!comments[].position;!comments[].body,"Create a pull request review"
pulls.createReviewCommentReply,!owner;!repo;!pull_number;!comment_id;!body,"Create a review comment reply"
pulls.createReviewRequest,!owner;!repo;!pull_number;reviewers;team_reviewers,"Create a review request"
pulls.deleteComment,!owner;!repo;!comment_id,"Delete a comment"
pulls.deletePendingReview,!owner;!repo;!pull_number;!review_id,"Delete a pending review"
pulls.deleteReviewRequest,!owner;!repo;!pull_number;reviewers;team_reviewers,"Delete a review request"
pulls.dismissReview,!owner;!repo;!pull_number;!review_id;!message,"Dismiss a pull request review"
pulls.get,!owner;!repo;!pull_number,"Get a single pull request"
pulls.getComment,!owner;!repo;!comment_id,"Get a single comment"
pulls.getCommentsForReview,!owner;!repo;!pull_number;!review_id;per_page;page,"Get comments for a single review"
pulls.getReview,!owner;!repo;!pull_number;!review_id,"Get a single review"
pulls.list,!owner;!repo;state;head;base;sort;direction;per_page;page,"List pull requests"
pulls.listComments,!owner;!repo;!pull_number;sort;direction;since;per_page;page,"List comments on a pull request"
